Establishment ID,Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
49267,CAVA,19865 CENTURY BLVD,STE F,GERMANTOWN,20874,11/08/2022,No Critical Violations Noted,Pre-Opening - Environmental,CAVA MEZZE GRILL LLC,Restaurant,Food,39.1824,-77.2642,POINT (-77.2642 39.1824)
17441,TARGET T-1415,11160 VEIRS MILL RD,,WHEATON,20902,11/04/2022,Critical Violations Corrected,Pre-Opening - Environmental,TARGET CORPORATION,,Food,39.0373,-77.054,POINT (-77.054 39.0373)
20241,SEE'S CANDIES HOLIDAY GIFT CENTER,7101 DEMOCRACY BLVD,,BETHESDA,20817,11/03/2022,No Critical Violations Noted,Pre-Opening - Environmental,"SEE'S CANDIES, INC",Seasonal,Food,39.0233,-77.1486,POINT (-77.1486 39.0233)
50366,FIREPAN KOREAN BBQ,962 WAYNE AVE,L-B,SILVER SPRING,20910,10/26/2022,No Critical Violations Noted,Pre-Opening - Environmental,FIREPAN KBBQ SILVER SPRING LLC,Restaurant,Food,38.9942,-77.0259,POINT (-77.0259 38.9942)
50390,FOXTROT,7762 WOODMONT AVE,,BETHESDA,20814,10/21/2022,No Critical Violations Noted,Pre-Opening - Environmental,FOXTROT RETAIL DC LLC,Restaurant,Food,38.9879,-77.0963,POINT (-77.0963 38.9879)
51450,COOKIE YAY,310 TULIP AVE,,TAKOMA PARK,20912,10/20/2022,No Critical Violations Noted,Pre-Opening - Environmental,TAKOMA PARK SILVER SPRING COMM KITCHEN,Caterer,Food,38.9769,-77.0125,POINT (-77.0125 38.9769)
51420,APNA PIZZA,14050 B TRAVILAH RD,,ROCKVILLE,20850,10/20/2022,No Critical Violations Noted,Pre-Opening - Environmental,APNA PIZZA LLC,Restaurant,Food,39.0853,-77.2254,POINT (-77.2254 39.0853)
51452,THOMAS THYME,310 TULIP AVE,,TAKOMA PARK,20912,10/20/2022,No Critical Violations Noted,Pre-Opening - Environmental,THOMAS THYME LLC,Caterer,Food,38.9769,-77.0125,POINT (-77.0125 38.9769)
51445,SWEET PEA FARM,310 TULIP AVE,,TAKOMA PARK,20912,10/20/2022,No Critical Violations Noted,Pre-Opening - Environmental,SWEET PEA FARM LLC,Caterer,Food,38.9769,-77.0125,POINT (-77.0125 38.9769)
46759,EASTERN ADULT DAY CARE,"630 EAST DIAMOND AVE, STE F",,GAITHERSBURG,20877,10/18/2022,Critical Violations Corrected,Pre-Opening - Environmental,ZHEJIANG DONRONG NORTH AMERICA LLC,Assisted Living,Food,39.141,-77.1808,POINT (-77.1808 39.141)
50332,DISTRICT FALAFEL,10315 WESTLAKE TER,,BETHESDA,20817,10/18/2022,No Critical Violations Noted,Pre-Opening - Environmental,DISCOVERY FOOD GROUP,Restaurant,Food,39.0256,-77.1475,POINT (-77.1475 39.0256)
51425,BUTTER QUEEN BAKERY,310 TULIP AVE,,TAKOMA PARK,20912,10/17/2022,No Critical Violations Noted,Pre-Opening - Environmental,BUTTERQUEEN BAKERY,Caterer,Food,38.9769,-77.0125,POINT (-77.0125 38.9769)
48247,GREEK AROMA,7101 DEMOCRACY BLVD,FC7,BETHESDA,20817,10/13/2022,No Critical Violations Noted,Pre-Opening - Environmental,WORLD GASTRONOMY LLC,Market,Food,39.0243,-77.146,POINT (-77.146 39.0243)
17269,GUATEMALTECA BAKERY,207 EAST DIAMOND AVE.,,GAITHERSBURG,20877,10/10/2022,No Critical Violations Noted,Pre-Opening - Environmental,GUATEMALTECA BAKERY INC,Market,Food,39.1419,-77.1945,POINT (-77.1945 39.1419)
46852,AMC MONTGOMERY 16,7101 DEMOCRACY BLVD,,BETHESDA,20817,10/05/2022,No Critical Violations Noted,Pre-Opening - Environmental,AMC OF MARYLAND LLC,Market,Food,39.0221,-77.1471,POINT (-77.1471 39.0221)
50289,PAMA THAI,12525 B-PARK POTOMAC AVE,,POTOMAC,20854,10/05/2022,No Critical Violations Noted,Pre-Opening - Environmental,CHUCHART KAMPIRAPANG - PAMA LLC,Restaurant,Food,39.0616,-77.1574,POINT (-77.1574 39.0616)
