"iso","adm1","adm2","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",21,14,2012,5.33224261680555659,2407.236452225539224
"USA",21,15,2012,32.27802144435978887,11715.14997570275667
"USA",21,16,2012,165.772840749181964056,63857.564488267456935
"USA",21,17,2012,18.843872219822043566,8200.588363655286043
"USA",21,18,2012,228.013446627660346278,93051.479043913291124
"USA",21,19,2012,130.665033507474104094,68823.89508440425250
"USA",21,20,2012,26.18348709327257768,12474.634985262517844
"USA",21,21,2012,29.61676725362196964,11474.5958677019849335
"USA",21,22,2012,197.339755614021903461,80968.480281250433447
"USA",21,23,2012,253.99763150572741848,105062.865234728049311
"USA",21,1,2013,162.15087663138666402,56412.388314093881597
"USA",21,2,2013,131.98807031781690343,50048.164163452371957
"USA",21,3,2013,29.90169710695530418,12064.988696055673049
"USA",21,4,2013,34.032679451121917239,13593.320164330430079
"USA",21,5,2013,31.009344877701762775,12494.138607816618483
"USA",21,6,2013,4.41277448665798641,1568.528314979832996
"USA",21,7,2013,27.710407980577241492,11165.054209942061051
"USA",21,8,2013,170.178493832237294819,67741.136123933967472
"USA",21,9,2013,83.02044457543835087,37608.055928171143411
"USA",21,10,2013,36.2980245439778637,13166.16012046027612
"USA",21,11,2013,215.28918487445353137,66622.304050216114407
"USA",21,12,2013,29.96133322825305664,11438.26864374000490
"USA",21,13,2013,34.390659554507289386,13238.274416057274685
"USA",21,14,2013,4.973411894333767026,2173.347420400624635
"USA",21,15,2013,20.161473069010414146,6324.814950484081354
"USA",21,16,2013,150.57615630666259374,53384.895860932492749
"USA",21,17,2013,2.16332725038194456,872.204753625372714
"USA",21,18,2013,106.040580466460504694,43087.973128445208217
"USA",21,19,2013,87.51893395143233946,43571.791528280732434
"USA",21,20,2013,12.485906551963968205,5696.946390866643176
"USA",21,21,2013,6.91419675998481189,2384.883177203388617
"USA",21,22,2013,114.093789047463087478,49618.6091655742499856
"USA",21,23,2013,219.400934583012093116,91521.087234474993263
"USA",21,1,2014,105.54284461822483487,37242.448360591998100
"USA",21,2,2014,84.293691754138579615,33595.4658100820247035
"USA",21,3,2014,48.94563250593094627,21161.366618177154168
"USA",21,4,2014,61.49519331438582763,26585.773894877701046
"USA",21,5,2014,15.646838804453118956,6280.31667515924333
"USA",21,6,2014,20.72816890316406682,7795.9814598238349785
"USA",21,7,2014,12.690919072146264115,5092.012535921358875
"USA",21,8,2014,101.10229557583124336,39856.960908886378692
"USA",21,9,2014,213.732595401697250040,94082.541997126086165
"USA",21,10,2014,40.880972328250875358,15598.809546497743645
"USA",21,11,2014,232.184765907871218026,72521.4753171222425033
"USA",21,12,2014,19.269535665713972746,7364.599247164498198
"USA",21,13,2014,18.69506075242187326,6471.70667381885223
"USA",21,14,2014,1.85543572689019075,687.041707937331555
"USA",21,15,2014,24.122731702543383355,7898.667225900226041
"USA",21,16,2014,144.73072292432931888,55449.641650226643062
"USA",21,17,2014,5.52572687241319514,2487.608766198896249
"USA",21,18,2014,107.78356462775385529,45944.5344159179824885
"USA",21,19,2014,136.64661270759965092,71953.817421731535361
"USA",21,20,2014,3.07259727546441006,1278.282852470739707
"USA",21,21,2014,30.92318202317709780,11647.00157721918768
"USA",21,22,2014,184.82479216201199487,74209.818853628086118
"USA",21,23,2014,351.132182913172951396,149865.842144439881813
"USA",21,1,2015,175.11661224287117442,62479.913946384272138
"USA",21,2,2015,140.379396874083912670,57004.582879599719278
"USA",21,3,2015,36.644958435707492395,13904.422021577485936
"USA",21,4,2015,86.620940007367683510,40384.420383687659840
"USA",21,5,2015,16.993637933274720,6307.321710233158555
"USA",21,6,2015,11.21229681917968735,3887.733004205221445
"USA",21,7,2015,38.68283089478088519,14802.562694343438348
"USA",21,8,2015,212.687895737026946380,87729.689437243796538
"USA",21,9,2015,199.921825105257958936,93587.747424553512397
"USA",21,10,2015,34.660634310301661116,13412.168649110350228
"USA",21,11,2015,200.530574569939306876,67020.602282966181046
"USA",21,12,2015,35.66744809024306815,13505.819476050113095
"USA",21,13,2015,45.959901848114159274,17460.87336517818779
"USA",21,14,2015,4.43166048797960062,1714.416090364928712
"USA",21,15,2015,52.313224175451428844,19322.956228574004623
"USA",21,16,2015,121.32063028779771758,44345.244838405287659
"USA",21,17,2015,25.713156238331181324,11802.529969390875193
"USA",21,18,2015,162.19202652095032398,68205.8335708175002235
"USA",21,19,2015,113.64781353629120117,58898.560324060506851
"USA",21,20,2015,37.59079465177519547,19240.764887165200784
"USA",21,21,2015,46.84355242677737847,18177.172803939972573
"USA",21,22,2015,268.115581871482198599,115594.1272986745927345
"USA",21,23,2015,360.580397659518270235,149865.729679592472049
"USA",21,1,2016,164.943481958315809545,59555.221806978668432
"USA",21,2,2016,136.075792780230577034,54869.935293891906345
"USA",21,3,2016,87.571684917708344876,33980.871007421665617
"USA",21,4,2016,71.44109094044057050,30428.267663518432375
"USA",21,5,2016,69.30537598057515475,26279.025348561259664
"USA",21,6,2016,30.84026972611330288,11214.579015354431578
"USA",21,7,2016,47.974338803216278766,18177.334551927204308
"USA",21,8,2016,275.42542678730261717,113092.9893006085183365
"USA",21,9,2016,425.995756810768585316,166215.566395237222254
"USA",21,10,2016,32.60985345492837702,12680.88583899898897
"USA",21,11,2016,323.998653395820305236,107088.685827175595715
"USA",21,12,2016,50.602259749830765911,17663.825133949185181
"USA",21,13,2016,56.590546423461423316,20871.520894539057022
"USA",21,14,2016,13.58536113542534926,5031.349495882733343
"USA",21,15,2016,42.24030833614800058,14130.618333466356682
"USA",21,16,2016,124.228508721855599055,43462.792570409852130
"USA",21,17,2016,32.54376604494139901,14114.383878910798489
"USA",21,18,2016,166.23572916108281842,69348.4016866566228100
"USA",21,19,2016,223.54009596296954412,126291.325835389059117
"USA",21,20,2016,48.650837254266485474,21959.011730796490461
"USA",21,21,2016,36.65759845797309371,13375.823936845972124
"USA",21,22,2016,213.66149106146713255,97690.716806991063593
"USA",21,23,2016,407.227651010344314546,179197.798701975700064
"USA",21,1,2017,283.209966289865151704,108447.7389916600893015
"USA",21,2,2017,183.59823312241378311,73574.287447898411222
"USA",21,3,2017,72.00030070293188636,27264.748939464285174
"USA",21,4,2017,63.052883083005673685,28929.670696059335535
"USA",21,5,2017,100.86075960028642790,46069.360295620314352
"USA",21,6,2017,35.55852862381075312,12060.135402011778331
"USA",21,7,2017,58.46006745275829992,23759.187828128779926
"USA",21,8,2017,387.544716699648188514,170144.424465789518336
"USA",21,9,2017,336.057861027861640674,146120.9268713250781315
"USA",21,10,2017,111.796622326651630695,44552.349101587696732
"USA",21,11,2017,384.57233347085767224,130678.145234231052273
"USA",21,12,2017,61.434997483465716805,23289.497003003286061
"USA",21,13,2017,59.38674415631493868,22330.509654257446295
"USA",21,14,2017,60.996514349516048504,25091.893414111021805
"USA",21,15,2017,45.950029711664510395,16173.602526471575867
"USA",21,16,2017,214.562761481363275266,80025.0252876302259795
"USA",21,17,2017,28.53106922237196539,11780.041100360120615
"USA",21,18,2017,125.204128592426140839,58120.475876428840794
"USA",21,19,2017,137.612349192317757611,78408.474568589206317
"USA",21,20,2017,76.635273387944813244,38182.273497117811612
"USA",21,21,2017,87.476511179895818174,32824.088120735986008
"USA",21,22,2017,261.292460264474851425,121655.224872060240798
"USA",21,23,2017,357.374587538542006121,186534.674877519874172
"USA",21,1,2018,146.363525626640472835,56475.262255265382555
"USA",21,2,2018,134.021581784854692286,54584.622231304539417
"USA",21,3,2018,39.86993141092879750,15308.473770475308989
"USA",21,4,2018,41.167774210078147405,18090.387806323219172
"USA",21,5,2018,89.249688580223862574,37543.996335205302532
"USA",21,6,2018,26.564583487213561756,9683.422039782613084
"USA",21,7,2018,79.08367120636936203,30122.67514760191808
"USA",21,8,2018,167.683474983695832868,73473.673514184352461
"USA",21,9,2018,150.010808876834045155,64776.399491572117104
"USA",21,10,2018,58.40643264151257342,22801.255826892624467
"USA",21,11,2018,193.47639049776463592,70551.189593055411736
"USA",21,12,2018,32.61459817130860194,13373.486730199353603
"USA",21,13,2018,50.15509908344386739,20132.242985148742293
"USA",21,14,2018,12.22179239040147646,5657.45376836780026
"USA",21,15,2018,43.489733290946163280,16393.921540235377729
"USA",21,16,2018,96.377797012092304196,36270.351059936560170
"USA",21,17,2018,7.988557061397569354,2923.709654266568345
"USA",21,18,2018,241.846425679734729530,94422.200082422329636
"USA",21,19,2018,100.07306127072488679,53371.337153484727094
"USA",21,20,2018,47.17182673771919365,25210.166490273585968
"USA",21,21,2018,34.731589253832452436,13321.357260713595106
"USA",21,22,2018,187.811936799433613985,83352.2404135735404345
"USA",21,23,2018,398.254093640319271465,183244.424987545966416
"USA",21,1,2019,231.787740661831504414,90582.413462877149147
"USA",21,2,2019,122.990747085349403316,51819.830090190478813
"USA",21,3,2019,46.60511662065104376,18473.88855393513320
"USA",21,4,2019,40.29252289990451746,18076.050214041236554
"USA",21,5,2019,65.031440674706916016,29690.163715546272263
"USA",21,6,2019,42.00341772332686417,15599.912744479833366
"USA",21,7,2019,54.55645733893662255,21389.109520276681966
"USA",21,8,2019,223.92164809473958657,94751.5230710321725075
"USA",21,9,2019,123.91786612907791090,58306.717334702404502
"USA",21,10,2019,47.93053152044489034,19725.347505429388436
"USA",21,11,2019,295.77425190486302895,105928.95307711838715
"USA",21,12,2019,39.8338316239822538,14646.152835733286478
"USA",21,13,2019,39.41887922861765839,16456.193436739189472
"USA",21,14,2019,4.734016129941405750,2113.107259493211035
"USA",21,15,2019,55.02364660560760404,21256.163205855133099
"USA",21,16,2019,201.79502203035484306,74539.340826432703467
"USA",21,17,2019,37.7354784400043678,17342.10872604895472
"USA",21,18,2019,152.200202763802550325,63748.271251522982906
"USA",21,19,2019,269.204957691855492938,159596.9698603915117924
"USA",21,20,2019,4.159026320855035360,2110.74993684071283
"USA",21,21,2019,28.713093321857647924,10698.157080089383625
"USA",21,22,2019,155.849783493658970126,68043.132689677132943
"USA",21,23,2019,363.778838202449655270,161473.2530060440406785
"USA",21,1,2020,265.73143777538127162,100533.473918366175511
"USA",21,2,2020,78.603192347189596994,33419.014146008402997
"USA",21,3,2020,36.14689722640408423,15133.08291513876055
"USA",21,4,2020,32.73558836469186012,14519.473691005448651
"USA",21,5,2020,118.59485278492845801,51318.552717242026552
"USA",21,6,2020,13.12122754286674989,5219.19779135080680
"USA",21,7,2020,39.81286546019100079,17581.009941714065267
"USA",21,8,2020,279.797892665390670955,122218.190048051888626
"USA",21,9,2020,77.886198230449057054,35842.297733391458317
"USA",21,10,2020,48.80106021238499593,18682.198622445662836
"USA",21,11,2020,255.4993813769017489,94832.523744420202204
"USA",21,12,2020,38.00229150703776207,14651.582518477491119
"USA",21,13,2020,58.94779048798614923,22310.65899774026305
"USA",21,14,2020,5.99211318471788053,2928.65612028165386
"USA",21,15,2020,26.0909937962478415,10314.45794611487308
"USA",21,16,2020,186.73898540967050151,76904.495665976850576
"USA",21,17,2020,10.444372019756948795,4466.86720192746187
"USA",21,18,2020,110.94662322506512243,48588.0725773538221779
"USA",21,19,2020,370.245730345267622976,220511.7630067973368825
"USA",21,20,2020,42.34524952402777995,27603.994915804138835
"USA",21,21,2020,69.65629159379107813,25968.15986983085962
"USA",21,22,2020,351.462456680182376035,170912.961735281618443
"USA",21,23,2020,453.107472182846616616,215863.720273452435456
"USA",21,1,2021,179.987097918882175835,70012.447376036126067
"USA",21,2,2021,71.43704145522577373,30798.268174491300063
"USA",21,3,2021,34.70948815428603200,14509.1740321747557605
"USA",21,4,2021,16.27965623448133380,7688.711406402743975
"USA",21,5,2021,86.17762517650778148,35188.5539405455305175
"USA",21,6,2021,14.725351397849392686,6205.6826602530043547
"USA",21,7,2021,121.03418430171014309,43481.451576387786268
"USA",21,8,2021,231.47747377766056323,107984.981405797609005
"USA",21,9,2021,62.862250520757401338,36624.727074622041013
"USA",21,10,2021,42.593213406586324266,16983.5916023605209855
"USA",21,11,2021,271.77246199000954754,102321.581658412700694
